Serializing method,Reliable,Registration,Empty size,Empty sent,Empty received server,Empty received client,Empty received server+1,Empty received client+1,Simple size,Simple sent,Simple received server,Simple received client,Simple received server+1,Simple received client+1,Physics size,Physics sent,Physics received server,Physics received client,Physics received server+1,Physics received client+1,Huge size,Huge sent,Huge received server,Huge received client,Huge received server+1,Huge received client+1
FST,FALSE,TRUE,3,594027,578034,578034,594027,594027,41,524630,508635,507742,524629,523736,149,506227,467462,464786,483456,480780,894,310436,119804,119097,147547,146801
FST,TRUE,TRUE,3,641053,567789,560820,640279,619837,41,480181,457358,456744,480181,480181,149,459529,441253,441231,459529,459529,894,272114,111422,111422,135097,135097
FST,FALSE,FALSE,52,542649,522684,517957,538680,533953,91,497530,475786,475405,491778,491400,200,523644,380468,378225,444881,442653,942,286728,118655,118162,145455,144961
FST,TRUE,FALSE,52,480441,459042,458494,480441,480441,91,535569,516434,516129,535569,535569,200,410568,393098,393010,410568,410568,942,232388,92178,92177,114775,114775
Kryo,FALSE,FALSE,51,538824,519253,517488,535246,533482,89,525301,504227,502752,520277,519499,192,472229,448378,447341,464371,463335,1044,323487,117176,116722,137844,137390
Kryo,TRUE,FALSE,51,509626,487871,487560,509626,509626,89,554747,535450,535249,554747,554747,192,456303,438981,438944,456303,456303,1044,297441,113129,113129,133789,133788
Java,FALSE,FALSE,116,566800,293375,292752,348894,348273,187,542524,225538,224428,274896,273784,552,600444,72768,71734,97019,95951,2119,102903,30329,30200,35840,35699
Java,TRUE,FALSE,116,370948,352765,352734,370948,370948,187,1066106,184092,184070,220501,220492,552,596509,89077,89077,112112,112110,2119,99907,28100,28100,33159,33157
jME,FALSE,TRUE,3,641103,625105,625105,641103,641103,41,573490,555243,554541,571234,570532,137,562337,536810,535389,551359,549940,818,284345,109578,109057,126706,126089
jME,TRUE,TRUE,3,635733,562291,555737,635733,615680,41,553719,531007,530239,553719,553719,137,555038,536827,536739,555038,555038,818,293538,128359,128315,151681,151612
